ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
REMX,98.2000,0.550368,0.111908,0.040767,-0.000911,0.139332,0.187730,0.246922,34833.11,46932.42,61730.57,0.278979,1.099175,0.156853,0.244855
SQM,79.5400,0.555094,0.111678,0.071126,-0.009351,0.140518,0.189321,0.249001,35129.50,47330.14,62250.33,0.140685,0.810897,0.149532,0.244839
TRGP,230.1400,0.226972,0.105996,-0.009508,-0.057366,0.053387,0.069763,0.087874,13346.70,17440.85,21968.61,0.238356,1.463684,0.371373,0.390045
EWZ,39.5900,0.267000,-0.105205,-0.071046,-0.061772,0.064504,0.085249,0.109136,16125.92,21312.20,27283.96,0.229503,0.355156,0.433180,0.326909
DOCN,59.2700,0.721523,0.104590,0.049303,-0.053209,0.181369,0.243656,0.319122,45342.22,60913.96,79780.60,0.210333,0.637745,0.031115,0.107559
DBA,26.1200,0.049842,0.104018,0.023463,-0.016369,0.006146,0.006036,0.004953,1536.47,1509.12,1238.26,0.021909,0.258638,0.362831,0.398605
MARA,8.5700,1.090754,0.103068,0.041352,-0.017444,0.266543,0.354033,0.456142,66635.68,88508.20,114035.40,-0.135217,-0.706406,-0.030225,0.030225
CRL,167.5600,0.503095,0.102818,0.033762,-0.025649,0.127389,0.171657,0.225831,31847.20,42914.18,56457.73,-0.172216,-0.328578,0.199475,0.275883
GGG,92.3500,0.187639,-0.102506,-0.168293,-0.141700,0.042517,0.054688,0.067339,10629.24,13672.04,16834.75,0.121276,0.054229,0.456321,0.306240
TNDM,26.0100,0.989950,-0.099843,-0.094248,-0.003848,0.243987,0.325191,0.421080,60996.67,81297.76,105269.92,0.206961,-0.098753,0.039483,-0.039483
PATK,128.3700,0.358610,-0.098545,-0.034629,0.001381,0.089717,0.120322,0.157285,22429.25,30080.51,39321.35,0.162456,0.723959,0.371673,0.332288
NET,171.8000,0.762566,-0.094670,-0.043503,-0.051153,0.191194,0.256589,0.335561,47798.41,64147.16,83890.13,-0.123559,0.733952,0.063491,0.012875
GNRC,236.5800,0.579318,0.085764,0.046122,0.011599,0.146571,0.197430,0.259575,36642.67,49357.40,64893.83,0.676683,1.141965,0.138898,0.217936
PCVX,63.0400,0.484716,-0.085746,-0.059229,-0.094016,0.122701,0.165324,0.217477,30675.26,41331.07,54369.28,0.356866,-0.201722,0.281784,0.222340
UFPI,104.6300,0.291464,-0.084198,-0.103675,-0.080318,0.071318,0.094765,0.122262,17829.40,23691.15,30565.41,0.135062,-0.037151,0.434242,0.324976
LIT,77.0900,0.325387,0.084022,-0.026135,-0.028594,0.080711,0.107865,0.140308,20177.87,26966.16,35077.10,0.163271,0.798394,0.354552,0.383313
WOR,57.1200,0.221371,0.082978,0.044200,0.075741,0.051835,0.067607,0.084925,12958.79,16901.69,21231.32,0.099307,-0.051581,0.355847,0.405744
CANE,9.3300,0.189948,0.081648,0.097061,0.078084,0.043153,0.055568,0.068532,10788.26,13892.00,17132.93,-0.026096,-0.304769,0.348470,0.414029
