ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
HOOD,78.7800,0.811676,0.046319,0.017627,0.034455,0.202828,0.271836,0.354814,50706.88,67958.97,88703.62,-0.316205,3.737222,-0.017669,0.032999
HUBS,263.6000,0.864437,0.044256,0.074933,0.107786,0.215182,0.287947,0.375009,53795.40,71986.85,93752.31,-0.310363,-0.580729,-0.033083,0.033083
DVN,44.9500,0.274976,-0.044037,-0.055276,0.016978,0.066724,0.088348,0.113406,16680.99,22086.94,28351.50,0.186955,0.077885,0.407507,0.352302
CW,726.4800,0.372534,-0.043540,0.006452,-0.005019,0.093444,0.125452,0.164230,23360.88,31362.93,41057.47,0.269227,2.040154,0.341240,0.340402
SLG,37.5900,0.424889,-0.043421,-0.027420,0.024037,0.107249,0.144348,0.189613,26812.37,36086.93,47403.26,-0.199531,-0.147756,0.301735,0.296606
DTM,141.4300,0.165326,-0.043092,-0.018709,0.022626,0.036387,0.046229,0.055919,9096.63,11557.19,13979.74,0.168940,1.628281,0.402868,0.360234
IWR,103.1900,0.140645,-0.042370,0.007080,0.061744,0.029651,0.036988,0.043571,7412.74,9246.95,10892.71,0.060317,0.298047,0.395138,0.368425
CRL,178.6100,0.519016,-0.042199,0.000281,0.058896,0.131429,0.177104,0.232996,32857.29,44275.91,58249.08,-0.117627,-0.310173,0.219868,0.230632
GDXJ,155.0300,0.736423,-0.041974,-0.015142,-0.038600,0.184947,0.248371,0.325127,46236.63,62092.81,81281.79,0.369523,3.681618,0.064636,0.051386
RBC,584.8900,0.186763,0.041891,0.145666,0.115679,0.042276,0.054355,0.066887,10568.95,13588.69,16721.80,0.274853,1.201317,0.347401,0.415182
IRM,110.3300,0.387165,-0.041840,-0.030111,0.018853,0.097333,0.130791,0.171432,24333.14,32697.77,42858.12,0.325445,0.489506,0.332226,0.326044
WOR,56.2700,0.222199,-0.040936,0.095267,0.078705,0.052064,0.067925,0.085361,13016.11,16981.34,21340.20,0.082948,-0.074666,0.378856,0.382710
BLDR,99.4100,0.448772,-0.040259,0.003774,0.018384,0.113455,0.152792,0.200867,28363.74,38198.02,50216.70,-0.049890,-0.505029,0.277969,0.282649
GGG,94.8200,0.188471,0.040075,0.083942,0.075503,0.042746,0.055005,0.067769,10686.55,13751.30,16942.17,0.151265,0.063025,0.361109,0.401429
KWEB,30.6500,0.218761,-0.039794,-0.082819,-0.071737,0.051113,0.066603,0.083554,12778.13,16650.71,20888.40,-0.139770,0.336792,0.420381,0.341291
ICLR,108.2700,1.648408,-0.039653,0.000346,0.029569,0.382558,0.497496,0.621259,95639.42,124373.89,155314.68,-0.426141,-0.673157,0.006905,-0.006905
XLE,57.0400,0.197815,-0.038277,-0.079695,0.001325,0.045322,0.058571,0.072609,11330.60,14642.75,18152.17,0.249507,0.412832,0.412533,0.349751
UFPI,101.3000,0.283479,-0.037953,0.061813,0.085572,0.069092,0.091655,0.117968,17273.04,22913.76,29492.00,0.098937,-0.104586,0.381412,0.378094
SHAK,94.4400,0.484550,-0.037850,-0.011679,0.063254,0.122659,0.165267,0.217401,30664.64,41316.70,54350.30,0.131424,-0.094188,0.247081,0.257303
OVV,52.1600,0.367917,-0.037786,-0.075014,-0.011063,0.092211,0.123756,0.161937,23052.67,30939.04,40484.30,0.288219,0.129885,0.356322,0.332712
APA,31.6900,0.419378,-0.037771,-0.112698,-0.007783,0.105810,0.142385,0.186989,26452.49,35596.18,46747.36,0.261489,0.150717,0.320660,0.286408
AR,37.0800,0.458728,-0.036870,-0.052752,-0.050405,0.116027,0.156284,0.205506,29006.74,39071.00,51376.43,0.083894,0.386687,0.284639,0.260298
ROIV,28.1000,0.648481,-0.036608,-0.013519,-0.039822,0.163647,0.220196,0.289057,40911.69,55049.07,72264.24,0.281350,1.447735,0.130299,0.119975
MDY,658.3600,0.151848,-0.035260,0.034558,0.076302,0.032701,0.041164,0.049132,8175.28,10291.04,12282.93,0.076966,0.259446,0.387689,0.375686
PCOR,55.7300,0.683838,0.034798,0.031173,0.068225,0.172264,0.231624,0.303743,43065.99,57906.11,75935.70,-0.204312,-0.291237,0.067871,0.128267
DECK,114.5100,0.587236,-0.034614,-0.037469,-0.023657,0.148541,0.200065,0.263003,37135.26,50016.22,65750.83,0.072291,-0.258499,0.178933,0.165654
AMT,190.2000,0.324272,-0.034367,-0.000179,0.017677,0.080406,0.107441,0.139728,20101.56,26860.18,34931.89,0.088101,-0.012651,0.376533,0.362249
ALLE,162.5000,0.349721,-0.033890,0.055272,0.084691,0.087324,0.117021,0.152803,21831.08,29255.27,38200.76,0.009881,0.290162,0.340838,0.377189
FXI,36.9000,0.189195,-0.033295,-0.074654,-0.049526,0.042945,0.055281,0.068142,10736.37,13820.21,17035.59,-0.073330,0.646658,0.415734,0.346785
EXAS,103.3500,0.025002,0.032997,0.032262,-0.012221,0.001271,0.000794,0.000304,317.84,198.40,75.95,0.015825,0.745777,0.376227,0.379960
VTV,206.8100,0.103176,-0.032646,-0.015348,0.057111,0.019581,0.023348,0.025746,4895.37,5836.99,6436.54,0.072610,0.376833,0.396651,0.367145
IJH,72.1000,0.152175,-0.032295,0.036935,0.077253,0.032790,0.041286,0.049295,8197.56,10321.60,12323.76,0.077567,0.266732,0.386493,0.376876
HESM,39.4900,0.176540,-0.030858,0.034322,0.056165,0.039463,0.050470,0.061633,9865.85,12617.45,15408.20,0.164345,0.330352,0.388371,0.374471
INSP,64.8100,0.830214,0.029998,0.063396,0.150684,0.207185,0.277528,0.361967,51796.27,69382.04,90491.80,-0.297605,-0.646793,-0.032077,0.039991
XLI,178.9000,0.152705,-0.029930,0.022002,0.060793,0.032935,0.041485,0.049560,8233.73,10371.22,12390.06,0.132422,0.509167,0.389783,0.373577
MTDR,54.1200,0.399655,-0.029389,-0.013726,0.017227,0.100633,0.135311,0.177511,25158.15,33827.81,44377.71,0.257660,-0.095904,0.316873,0.321506
AEO,22.5000,0.477007,-0.029235,0.041517,0.087952,0.120727,0.162653,0.213946,30181.73,40663.34,53486.45,-0.142572,-0.007497,0.240393,0.275821
DT,36.7100,0.508602,-0.029201,0.033689,0.056847,0.128789,0.173545,0.228317,32197.13,43386.21,57079.21,-0.133176,-0.249284,0.219939,0.246814
ESAB,121.6400,0.409458,-0.028827,-0.023815,0.041161,0.103211,0.138837,0.182240,25802.77,34709.18,45560.00,0.080572,0.227641,0.308063,0.314737
IWN,198.9500,0.178415,-0.028210,0.020745,0.059662,0.039979,0.051181,0.062594,9994.69,12795.28,15648.38,0.087931,0.347498,0.389372,0.373423
CRS,408.5000,0.454850,-0.028006,0.025445,0.050631,0.115026,0.154926,0.203703,28756.56,38731.48,50925.63,0.208059,5.338738,0.263642,0.287399
STAG,39.7300,0.239377,0.026262,0.021218,0.056990,0.056827,0.074550,0.094431,14206.77,18637.39,23607.69,0.076111,0.145128,0.375063,0.385957
TREX,40.6800,0.269953,-0.023872,0.086357,0.087128,0.065326,0.086396,0.110716,16331.38,21598.92,27678.91,0.135361,-0.576382,0.374294,0.385691
CIFR,15.7600,1.105319,-0.022881,-0.132310,-0.098349,0.269760,0.358123,0.461069,67440.08,89530.87,115267.25,-0.027161,4.491289,0.035402,-0.035402
TRGP,239.6100,0.220024,-0.021970,-0.037776,0.033371,0.051462,0.067088,0.084217,12865.49,16772.07,21054.19,0.282915,1.465646,0.398638,0.362995
CHRD,113.3200,0.365638,-0.021874,-0.079195,-0.004074,0.091601,0.122917,0.160802,22900.28,30729.32,40200.49,0.196874,-0.220008,0.354098,0.338588
IWM,263.8100,0.192776,0.021475,0.063302,0.076312,0.043932,0.056646,0.069995,10983.11,14161.62,17498.71,0.060415,0.312178,0.368716,0.393707
AM,22.9100,0.186792,0.021305,-0.002748,-0.000509,0.042284,0.054366,0.066902,10570.90,13591.38,16725.45,0.292537,0.893470,0.386428,0.376155
DLR,178.6900,0.228360,0.019635,-0.113683,-0.033178,0.053772,0.070298,0.088606,13442.88,17574.58,22151.62,0.152616,0.235910,0.406148,0.355225
WSC,21.7700,0.470560,0.019232,0.074829,0.062594,0.119073,0.160413,0.210980,29768.13,40103.25,52745.04,0.118131,-0.538907,0.230876,0.295459
APG,44.5800,0.201339,0.018944,0.093216,0.067806,0.046295,0.059919,0.074442,11573.85,14979.78,18610.45,0.143957,0.741406,0.365594,0.396592
